variant,id,turnover,etv
Control,5345067,0.0,0.0
Target,2112577,1916.32,374.85289549827576
Control,2197953,200.0,67.76449966430664
Control,4077497,0.0,0.0
Control,1752165,0.0,0.0
Target,2438079,0.0,0.0
Control,5079079,0.0,0.0
Control,505555,0.0,0.0
Control,1674900,0.0,0.0
Control,1306576,0.0,0.0
Target,6935285,89.0002,29.240100383758545
Control,1481406,469.0,37.16600090265274
Target,7889371,20.9996,0.7140000462532043
Target,5853526,0.0,0.0
Target,1365626,75.0,8.561099767684937
Control,2732674,0.0,0.0
Control,7042311,32.0,4.059800026938319
Control,1097133,0.0,0.0
Control,2621632,0.0,0.0
Target,2604973,493.0,78.02319968817756
Control,5358527,50.0002,11.987900257110596
Control,3244305,0.0,0.0
Control,7245685,35.0,4.942300081253052
Target,781305,0.0,0.0
Target,7557074,0.0,0.0
Control,3821249,0.0,0.0
Target,2718638,34.0,5.963899850845337
Control,1168443,57.9998,3.9777000546455383
Control,4287691,0.0,0.0
Target,453914,0.0,0.0
Control,1277677,0.0,0.0
Target,2602461,0.0,0.0
Target,2018115,1334.9499,36.56409966945648
Target,5445544,0.0,0.0
Control,3181584,20.0,4.2631001472473145
Control,7090859,119.9997,6.722499847412109
Target,5035757,0.0,0.0
Target,1316002,50.0,8.33530044555664
Control,6512460,0.0,0.0
Control,3582927,44.9996,20.3818998336792
Control,7369809,0.0,0.0
Target,1990135,166.96,23.06870010495186
Target,1378774,321.25,-0.2885003089904785
Control,2803662,0.0,0.0
Target,3925756,0.0,0.0
Control,2898517,30.0,7.888800024986267
Target,3732875,83.0,22.415499806404114
Control,7356403,0.0,0.0
Control,2142063,547.74,58.60809949738905
Control,3281322,530.03,-20.2555992603302
Target,2595480,323.9996,-7.658899307250977
Control,6426891,15.0,-5.562200129032135
Target,7915687,874.01,88.9079016149044
Control,4176919,16.7,1.1991000175476074
Target,1992046,0.0,0.0
Target,5041069,0.0,0.0
Control,2762696,0.0,0.0
Control,8062535,5.0,2.5865999460220337
Control,2615828,0.0,0.0
Control,4521801,387.72,42.17479944229126
Target,3370820,60.0298,14.025000095367432
